City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature (F),Wind Speed (mph)
ferme-neuve,68.0,ca,1546893493,54.0,46.7,-75.45,12.66,6.17
punta arenas,0.0,cl,1546891200,58.0,-53.16,-70.91,57.2,16.11
cabatuan,88.0,ph,1546893493,92.0,16.95,121.67,67.69,2.15
albany,90.0,au,1546891200,72.0,-35.02,117.88,60.8,5.82
ushuaia,75.0,ar,1546891200,61.0,-54.81,-68.31,51.8,24.16
rikitea,80.0,pf,1546893494,96.0,-23.12,-134.97,80.07,15.9
nara,92.0,ml,1546893494,28.0,15.17,-7.29,70.98,7.4
kaitangata,12.0,nz,1546893494,63.0,-46.28,169.85,61.44,18.25
anloga,20.0,gh,1546891200,61.0,5.79,0.9,82.4,2.24
eyl,44.0,so,1546893495,100.0,7.98,49.82,73.41,18.25
konskie,8.0,pl,1546893496,56.0,51.19,20.41,2.58,8.63
santa maria da vitoria,44.0,br,1546893496,62.0,-13.39,-44.19,81.37,6.62
hermanus,20.0,za,1546893496,92.0,-34.42,19.24,58.87,3.83
tasiilaq,92.0,gl,1546890600,53.0,65.61,-37.64,23.0,11.41
new norfolk,20.0,au,1546891200,77.0,-42.78,147.06,59.0,4.7
constitucion,0.0,cl,1546893497,90.0,-35.33,-72.42,58.92,7.52
castro,75.0,cl,1546891200,76.0,-42.48,-73.76,53.6,8.05
igarka,48.0,ru,1546893497,78.0,67.47,86.57,1.54,6.62
chicama,20.0,pe,1546891200,78.0,-7.84,-79.15,78.8,9.17
meulaboh,56.0,id,1546893401,100.0,4.14,96.13,78.67,4.05
baruun-urt,0.0,mn,1546893498,25.0,46.68,113.28,-19.03,7.63
njeru,0.0,ug,1546893498,45.0,0.43,33.15,67.92,7.4
winslow,1.0,us,1546890960,53.0,35.02,-110.7,44.96,11.41
hirado,80.0,jp,1546893428,100.0,33.32,129.49,50.64,7.18
cape town,20.0,za,1546891200,72.0,-33.93,18.42,66.2,19.46
qaanaaq,24.0,gl,1546893288,100.0,77.48,-69.36,-13.81,10.98
iqaluit,20.0,ca,1546891200,74.0,63.75,-68.52,-25.61,5.82
busselton,0.0,au,1546893306,100.0,-33.64,115.35,60.04,21.72
avarua,75.0,ck,1546891200,65.0,-21.21,-159.78,80.6,3.36
khatanga,36.0,ru,1546893287,54.0,71.98,102.47,-19.12,12.44
brae,56.0,gb,1546892400,87.0,60.4,-1.35,44.6,33.33
tucdao,0.0,ph,1546893500,100.0,11.7,124.47,78.09,19.48
mar del plata,88.0,ar,1546893274,53.0,-46.43,-67.52,61.98,21.27
rassvet,64.0,ru,1546893500,88.0,49.11,45.47,8.56,7.18
port alfred,88.0,za,1546893501,85.0,-33.59,26.89,71.97,14.67
petropavlovsk-kamchatskiy,20.0,ru,1546891200,45.0,53.05,158.65,24.8,20.13
halifax,20.0,ca,1546891200,57.0,44.65,-63.58,21.2,21.92
aswan,0.0,eg,1546893501,88.0,24.09,32.9,40.47,3.6
port elizabeth,0.0,za,1546891200,88.0,-33.92,25.57,69.8,11.41
puerto madryn,8.0,ar,1546893501,46.0,-42.77,-65.04,77.28,14.79
arraial do cabo,0.0,br,1546891200,62.0,-22.97,-42.02,89.6,17.22
yarada,0.0,in,1546893502,100.0,17.65,83.27,76.47,7.18
magadan,76.0,ru,1546893502,100.0,59.56,150.8,2.89,11.32
bluff,92.0,nz,1546893502,100.0,-46.6,168.33,57.61,24.07
jaypur,0.0,in,1546893503,91.0,23.05,87.44,54.42,6.85
nebbi,12.0,ug,1546893406,72.0,2.48,31.09,66.57,3.38
la ronge,90.0,ca,1546892520,78.0,55.1,-105.3,8.6,20.8
korfovskiy,0.0,ru,1546891200,59.0,48.22,135.06,1.4,17.9
erdaojiang,0.0,cn,1546893553,55.0,41.78,126.03,-12.19,4.38
tuktoyaktuk,40.0,ca,1546891200,82.0,69.44,-133.03,-16.61,5.82
hasaki,75.0,jp,1546891200,79.0,35.73,140.83,26.6,3.36
riverton,36.0,nz,1546893554,67.0,-46.35,168.02,61.62,15.12
alugan,80.0,ph,1546893554,95.0,12.22,125.48,77.1,15.79
jamestown,92.0,sh,1546893554,98.0,-15.94,-5.72,73.5,20.04
lebu,88.0,cl,1546893555,92.0,-37.62,-73.65,57.57,13.67
hobart,20.0,au,1546891200,77.0,-42.88,147.33,59.0,4.7
clyde river,90.0,ca,1546891200,83.0,70.47,-68.59,-7.61,17.22
coquimbo,40.0,cl,1546891200,64.0,-29.95,-71.34,68.0,13.87
dikson,56.0,ru,1546893316,100.0,73.51,80.55,-3.82,15.01
bambous virieux,75.0,mu,1546891200,88.0,-20.34,57.76,80.6,16.11
isangel,24.0,vu,1546893556,100.0,-19.55,169.27,77.41,18.03
rodrigues alves,48.0,br,1546893556,67.0,-7.74,-72.65,86.28,6.85
matay,0.0,eg,1546893556,86.0,28.42,30.79,38.67,3.04
winneba,20.0,gh,1546891200,69.0,5.35,-0.62,82.4,3.36
wilmington,75.0,us,1546892100,69.0,39.75,-75.55,33.98,6.51
sur,0.0,om,1546893557,100.0,22.57,59.53,69.72,6.96
verkhnevilyuysk,44.0,ru,1546893557,60.0,63.45,120.31,-12.91,2.71
benito juarez,24.0,mx,1546893557,89.0,28.64,-111.57,66.12,8.97
faanui,88.0,pf,1546893298,100.0,-16.48,-151.75,82.77,9.31
kahului,1.0,us,1546890960,56.0,20.89,-156.47,80.06,11.41
labuhan,88.0,id,1546893558,92.0,-2.54,115.51,74.76,2.15
eidsvag,90.0,no,1546892400,100.0,62.78,8.07,33.8,14.99
hammerfest,75.0,no,1546892400,100.0,70.66,23.68,32.0,20.8
rehoboth,0.0,na,1546893558,52.0,-23.31,17.08,66.07,6.29
lure,90.0,fr,1546891200,93.0,47.69,6.5,35.6,1.12
hamilton,75.0,bm,1546890900,59.0,32.3,-64.78,62.6,23.04
thompson,90.0,ca,1546891200,92.0,55.74,-97.86,19.4,6.93
nanortalik,100.0,gl,1546893369,92.0,60.14,-45.24,33.94,39.62
pevek,0.0,ru,1546893560,94.0,69.7,170.27,-21.46,5.84
bangassou,12.0,cf,1546893560,84.0,4.74,22.82,75.57,0.69
oak ridge,1.0,us,1546892100,35.0,36.01,-84.27,69.8,17.22
kudahuvadhoo,0.0,mv,1546893561,100.0,2.67,72.89,81.51,10.87
leningradskiy,0.0,ru,1546893561,99.0,69.38,178.42,-8.5,22.06
inhambane,20.0,mz,1546887600,73.0,-23.87,35.38,75.2,5.17
vaini,90.0,to,1546891200,88.0,-21.2,-175.2,82.4,10.29
katsuura,40.0,jp,1546891200,80.0,33.93,134.5,39.2,5.82
pontalina,36.0,br,1546893562,90.0,-17.52,-49.45,73.32,6.4
vardo,0.0,no,1546892400,79.0,70.37,31.11,26.6,19.46
werota,0.0,et,1546893563,31.0,11.92,37.7,48.48,5.17
palma,20.0,es,1546891200,93.0,39.57,2.65,46.4,2.24
hilo,40.0,us,1546890780,59.0,19.71,-155.08,75.92,4.7
tutoia,75.0,br,1546891200,62.0,-2.76,-42.27,84.2,11.41
butaritari,80.0,ki,1546893613,100.0,3.07,172.79,79.62,7.63
bredasdorp,8.0,za,1546891200,77.0,-34.53,20.04,66.2,2.24
saskylakh,8.0,ru,1546893614,0.0,71.97,114.09,-41.93,8.63
beira,75.0,mz,1546891200,83.0,-19.84,34.84,80.6,6.06
mahebourg,75.0,mu,1546891200,88.0,-20.41,57.7,80.6,16.11
vincennes,90.0,us,1546892100,93.0,38.68,-87.53,57.02,19.46
bethel,90.0,us,1546891800,91.0,60.79,-161.76,6.08,10.29
barrow,1.0,us,1546893300,60.0,39.51,-90.4,64.04,17.22
puerto escondido,20.0,mx,1546890300,66.0,15.86,-97.07,84.2,9.17
jacmel,40.0,ht,1546891200,58.0,18.24,-72.54,86.0,9.17
hithadhoo,64.0,mv,1546893616,100.0,-0.6,73.08,81.37,6.85
cherskiy,8.0,ru,1546893616,32.0,68.75,161.3,-22.04,4.16
sorland,75.0,no,1546892400,69.0,67.67,12.69,37.4,25.28
wanning,76.0,cn,1546893617,100.0,18.8,110.4,74.26,13.89
quatre cocos,75.0,mu,1546891200,88.0,-20.21,57.76,80.6,16.11
srednyaya yelyuzan,36.0,ru,1546893617,76.0,53.02,45.95,-0.44,5.17
mayumba,56.0,ga,1546893617,100.0,-3.44,10.65,78.49,3.38
ahipara,36.0,nz,1546893618,82.0,-35.17,173.16,70.66,4.16
coahuayana,12.0,mx,1546893618,39.0,18.62,-100.35,83.44,2.93
